Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дзиндра,Захар,Федорович,male,1979-08-30,Електрослюсар,хутір Трускавець,"площа Павлова, буд. 5 кв. 191, Володимир-Волинський, 06556",142 46 08,andriidzhus@example.net
Чумаченко,Алевтин,Андрійович,male,1947-11-02,Актор,хутір Селидове,"узвіз Тургенєва, буд. 570 кв. 84, Болехів, 42253",+380 (01) 527-37-09,hryhoriivernyhora@example.com
Лагода,Кирило,Дамирович,male,1951-09-12,Етнограф,місто Тульчин,"парк Історія Футболу, буд. 82 кв. 3, Федорівка, 20612",682 19 38,haidaionysym@example.org
Ємельяненко,Франц,Опанасович,male,2004-06-14,Правник,хутір Сватове,"площа Азовський, буд. 1, Новий Буг, 09190",210-48-04,neporozhniisviatoslava@example.com
Бевз,Кирило,Вікторович,male,1968-01-05,Штукатур,хутір Кодима,"набережна Мусіна, буд. 48 кв. 1, Берестечко, 13682",+380 (22) 207-85-67,durdynetsruslan@example.org
Талан,Миколай,Юрійович,male,1965-03-29,Євнух,місто Кам'янець-Подільський,"шосе Станційна 3-тя, буд. 8 кв. 1, Перещепине, 69556",+380 31 760 74 27,klavdiia36@example.com
Перебийніс,Павло,Юрійович,male,1950-04-17,Маркетолог,село Городня,"узвіз Розумовський 1-й, буд. 4 кв. 921, Донецьк, 89403",049 133-64-85,hutsuliakdemian@example.com
Опанасенко,Мирон,Олександрович,male,1980-03-05,Фотограф,хутір Вараш,"вулиця Лїнія 1-ша, буд. 7, Апостолове, 99146",+380 (01) 679-74-77,goliinyk@example.net
Левченко,Омелян,Сергійович,male,1971-06-10,Археолог,село Ворожба,"шосе ім. С.Ю. Вітте, буд. 289 кв. 64, Хирів, 66427",499 24 15,zhuchenkooles@example.com
Цісик,Георгій,Олександрович,male,1990-08-12,Кінокритик,селище Дубровиця,"провулок Чернігівська, буд. 7 кв. 978, Баранівка, 59860",+380 12 381-37-49,ookhrimenko@example.org
